,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
579,Kyung Ho Kang,39.36,1.36,0.82,0.36,41.9,8.0,3.0,0.73,['Bantamweight']
580,Steve Montgomery,43.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,['Middleweight' 'Welterweight']
581,John Marsh,18.0,1.0,1.0,1.0,21.0,0.0,1.0,0.0,['Heavyweight']
582,Brendon Marotte,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,['Lightweight']
583,Nick Thompson,25.0,1.0,1.5,0.0,27.5,1.0,1.0,0.5,['Welterweight']
584,Shauna Bannon,54.0,0.0,0.0,0.0,54.0,0.0,1.0,0.0,"[""Women's Strawweight""]"
585,Frank Camacho,55.38,0.62,0.0,0.0,56.0,2.0,6.0,0.25,['Lightweight' 'Welterweight']
586,Gerald Meerschaert,27.21,1.11,0.84,0.16,29.32,10.0,9.0,0.53,['Middleweight']
587,Hector Urbina,6.33,0.0,1.67,0.0,8.0,1.0,2.0,0.33,['Welterweight']
588,Brock Jardine,9.5,0.0,0.5,0.0,10.0,0.0,2.0,0.0,['Welterweight']
589,Luis Saldana,72.0,0.75,0.25,0.5,73.5,2.0,2.0,0.5,['Featherweight']
590,Aleksei Oleinik,22.35,0.82,0.88,0.12,24.17,9.0,8.0,0.53,['Heavyweight']
591,Will Brooks,37.25,1.75,0.25,0.0,39.25,1.0,3.0,0.25,['Lightweight']
592,Christian Rodriguez,36.75,1.5,1.5,0.0,39.75,3.0,1.0,0.75,['Featherweight' 'Bantamweight']
593,Terrion Ware,60.25,0.5,0.0,0.0,60.75,0.0,4.0,0.0,['Bantamweight' 'Featherweight']
594,Ramiz Brahimaj,19.5,1.0,1.25,0.0,21.75,2.0,2.0,0.5,['Welterweight']
595,Martin Svensson,13.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,['Lightweight']
596,Vik Grujic,21.25,0.75,0.25,0.0,22.25,1.0,3.0,0.25,['Welterweight' 'Middleweight']
597,Christian Wellisch,23.0,0.6,0.6,0.2,24.400000000000002,2.0,3.0,0.4,['Light Heavyweight' 'Heavyweight']
598,Danny Chavez,33.0,1.5,0.0,0.0,34.5,2.0,2.0,0.5,['Featherweight']
599,Raulian Paiva,43.0,0.43,0.14,0.14,43.71,3.0,4.0,0.43,['Bantamweight' 'Flyweight']
600,Felipe dos Santos,99.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,['Flyweight']
601,Brady Hiestand,43.33,4.0,0.33,0.0,47.66,2.0,1.0,0.67,['Bantamweight']
602,Matt Bessette,50.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,['Featherweight']
603,Allan Nascimento,16.67,1.33,1.0,0.0,19.0,2.0,1.0,0.67,['Flyweight']
604,Alan Omer,46.5,1.5,0.0,0.0,48.0,0.0,2.0,0.0,['Featherweight']
605,Mads Burnell,16.67,3.0,0.33,0.0,20.0,1.0,2.0,0.33,['Featherweight' 'Lightweight']
606,Daniel Omielanczuk,36.89,0.44,0.11,0.22,37.66,4.0,5.0,0.44,['Heavyweight']
607,Tim Credeur,26.2,0.2,1.6,0.4,28.4,3.0,2.0,0.6,['Middleweight']
608,Cale Yarbrough,6.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,['Middleweight']
609,Charlie Campbell,43.0,0.0,0.0,1.0,44.0,1.0,0.0,1.0,['Lightweight']
610,Anthony Njokuani,53.38,0.38,0.12,0.12,54.0,3.0,5.0,0.38,['Lightweight']
611,Sammy Morgan,4.5,0.0,0.5,0.0,5.0,0.0,2.0,0.0,['Welterweight']
612,Steve Bruno,12.33,1.67,0.33,0.0,14.33,1.0,2.0,0.33,['Welterweight']
613,Melquizael Costa,61.5,1.5,0.5,0.0,63.5,1.0,1.0,0.5,['Lightweight' 'Featherweight']
614,Claudia Gadelha,47.91,2.91,0.73,0.0,51.54999999999999,7.0,4.0,0.64,"[""Women's Strawweight""]"
615,Lucie Pudilova,49.8,0.5,0.6,0.2,51.1,3.0,7.0,0.3,"[""Women's Bantamweight"" ""Women's Flyweight""]"
616,Josh Emmett,48.64,1.0,0.09,1.0,50.730000000000004,8.0,3.0,0.73,['Featherweight' 'Lightweight']
617,Vinny Magalhaes,16.6,0.8,0.4,0.0,17.8,1.0,4.0,0.2,['Light Heavyweight']
618,Carlos Ulberg,55.83,0.5,0.17,0.67,57.17,5.0,1.0,0.83,['Light Heavyweight']
619,Thiago Santos,34.4,0.4,0.05,0.65,35.49999999999999,13.0,7.0,0.65,['Light Heavyweight' 'Middleweight']
620,Sam Sicilia,21.25,0.83,0.5,0.08,22.659999999999997,5.0,7.0,0.42,['Featherweight' 'Lightweight']
621,Josefine Knutsson,81.0,3.0,0.0,0.0,84.0,1.0,0.0,1.0,"[""Women's Strawweight""]"
622,James Hammortree,29.0,2.0,1.0,0.0,32.0,0.0,1.0,0.0,['Middleweight']
623,Nikita Krylov,31.71,1.0,0.59,0.29,33.59,10.0,7.0,0.59,['Light Heavyweight' 'Heavyweight']
624,Mike Davis,81.25,3.5,0.25,0.5,85.5,3.0,1.0,0.75,['Lightweight']
625,Herbert Burns,9.0,1.67,1.0,0.33,12.0,1.0,2.0,0.33,['Featherweight']
626,Kelly Dullanty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Lightweight']
627,Yasuhiro Urushitani,35.0,0.0,0.0,0.0,35.0,0.0,2.0,0.0,['Flyweight']
628,Raquel Pennington,56.44,0.88,0.62,0.0,57.94,12.0,4.0,0.75,"[""Women's Bantamweight"" ""Women's Featherweight""]"
629,Nick Maximov,20.25,3.75,0.25,0.0,24.25,2.0,2.0,0.5,['Middleweight']
630,Jason Godsey,1.5,0.5,0.0,0.0,2.0,0.0,2.0,0.0,['Heavyweight']
631,Byron Bloodworth,12.5,0.0,0.0,0.0,12.5,0.0,2.0,0.0,['Bantamweight']
632,Sarah Moras,30.25,0.5,0.75,0.0,31.5,2.0,6.0,0.25,"[""Women's Bantamweight""]"
633,Brian Foster,16.2,1.2,0.6,0.2,18.2,3.0,2.0,0.6,['Welterweight']
634,John Gunderson,15.67,1.67,2.0,0.0,19.34,1.0,2.0,0.33,['Lightweight']
635,Joe Vedepo,5.5,0.5,0.0,0.0,6.0,0.0,2.0,0.0,['Middleweight']
636,Amanda Nunes,24.0,0.58,0.5,0.42,25.5,10.0,2.0,0.83,"[""Women's Bantamweight"" ""Women's Featherweight""]"
637,Ashkan Mokhtarian,27.0,0.5,0.0,0.0,27.5,0.0,2.0,0.0,['Flyweight']
638,Alfonso Alcarez,34.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,['Lightweight']
639,Steve Garcia,21.6,0.8,0.2,0.8,23.400000000000002,3.0,2.0,0.6,['Lightweight' 'Featherweight']
640,George Sotiropoulos,25.55,1.55,1.09,0.09,28.28,7.0,4.0,0.64,['Lightweight' 'Welterweight']
641,Davi Ramos,29.0,1.43,0.43,0.0,30.86,4.0,3.0,0.57,['Lightweight' 'Welterweight']
642,Roman Kopylov,50.17,0.33,0.0,0.67,51.17,4.0,2.0,0.67,['Middleweight']
643,Abubakar Nurmagomedov,33.25,1.0,0.0,0.0,34.25,2.0,2.0,0.5,['Welterweight']
644,Pedro Rizzo,19.33,0.17,0.0,0.58,20.08,9.0,3.0,0.75,['Heavyweight']
645,Matt Wiman,30.94,1.39,1.0,0.06,33.39,10.0,8.0,0.56,['Lightweight']
646,Rashad Evans,24.14,2.38,0.0,0.19,26.71,14.0,7.0,0.67,['Light Heavyweight' 'Middleweight' 'Heavyweight']
647,Cristiano Marcello,42.5,0.5,0.25,0.0,43.25,1.0,3.0,0.25,['Lightweight']
648,Diana Belbita,85.33,0.83,0.0,0.17,86.33,2.0,4.0,0.33,"[""Women's Strawweight"" ""Women's Flyweight""]"
649,Ali AlQaisi,36.5,3.5,1.0,0.0,41.0,0.0,2.0,0.0,['Bantamweight']
650,Steve Erceg,64.0,2.0,1.0,0.0,67.0,2.0,0.0,1.0,['Flyweight']
651,Jan Blachowicz,38.88,0.94,0.35,0.35,40.52,10.0,7.0,0.59,['Light Heavyweight']
652,Rory MacDonald,47.27,1.91,0.45,0.09,49.720000000000006,9.0,2.0,0.82,['Welterweight']
653,Mike King,38.0,1.0,2.0,1.0,42.0,0.0,1.0,0.0,['Middleweight']
654,Phil Davis,36.17,2.42,0.5,0.0,39.09,10.0,2.0,0.83,['Light Heavyweight']
655,Chas Skelly,17.82,1.09,1.55,0.18,20.64,8.0,3.0,0.73,['Featherweight']
656,Miranda Maverick,46.12,2.0,0.38,0.0,48.5,5.0,3.0,0.62,"[""Women's Flyweight""]"
657,Chris Beal,45.2,1.4,0.2,0.2,47.00000000000001,2.0,3.0,0.4,['Bantamweight' 'Flyweight']
658,Anthony Johnson,20.05,1.0,0.26,0.68,21.990000000000002,13.0,6.0,0.68,['Light Heavyweight' 'Middleweight' 'Welterweight']
659,Cameron Saaiman,65.25,0.75,0.5,0.25,66.75,3.0,1.0,0.75,['Bantamweight']
660,Pat Healy,40.4,0.8,0.0,0.0,41.199999999999996,0.0,5.0,0.0,['Lightweight' 'Welterweight']
661,Vernon Ramos Ho,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,['Welterweight']
662,Steve Bosse,32.67,0.33,0.0,0.33,33.33,2.0,1.0,0.67,['Middleweight' 'Light Heavyweight']
663,Uriah Hall,27.47,0.41,0.12,0.35,28.35,9.0,8.0,0.53,['Middleweight']
664,Trevin Jones,25.6,0.4,0.2,0.2,26.4,1.0,4.0,0.2,['Bantamweight']
665,Callan Potter,19.33,1.33,0.0,0.0,20.659999999999997,1.0,2.0,0.33,['Welterweight' 'Lightweight']
666,Josh Parisian,51.33,0.83,0.0,0.0,52.16,2.0,4.0,0.33,['Heavyweight']
667,Anthony Pettis,37.63,0.42,0.58,0.21,38.84,11.0,8.0,0.58,['Lightweight' 'Welterweight' 'Featherweight']
668,Jessica Rakoczy,25.0,0.5,0.5,0.0,26.0,0.0,2.0,0.0,"[""Women's Strawweight"" ""Women's Bantamweight""]"
669,Brian Houston,15.0,0.5,0.0,0.0,15.5,0.0,2.0,0.0,['Middleweight']
670,Jalin Turner,38.3,0.3,0.6,0.4,39.599999999999994,6.0,4.0,0.6,['Lightweight' 'Welterweight']
671,Fabricio Camoes,11.0,1.33,0.83,0.0,13.16,1.0,5.0,0.17,['Lightweight']
672,Kalib Starnes,27.8,1.0,0.4,0.0,29.2,2.0,3.0,0.4,['Middleweight']
673,Takashi Sato,18.71,0.43,0.0,0.29,19.43,2.0,5.0,0.29,['Welterweight']
674,Mike Nickels,12.0,2.0,0.5,0.0,14.5,1.0,1.0,0.5,['Light Heavyweight']
675,Orion Cosce,21.0,1.67,0.0,0.0,22.67,1.0,2.0,0.33,['Welterweight']
676,Bryan Barberena,65.5,0.11,0.22,0.33,66.16,9.0,9.0,0.5,['Middleweight' 'Welterweight' 'Lightweight']
677,Thomas Almeida,43.5,0.1,0.0,0.3,43.9,5.0,5.0,0.5,['Bantamweight' 'Featherweight']
678,Ryan LaFlare,44.67,2.33,0.22,0.22,47.44,7.0,2.0,0.78,['Welterweight']
679,Omari Akhmedov,35.67,2.07,0.2,0.13,38.07000000000001,9.0,6.0,0.6,['Middleweight' 'Welterweight']
680,Alptekin Ozkilic,47.5,3.5,0.0,0.0,51.0,1.0,3.0,0.25,['Flyweight']
681,Ode Osbourne,19.57,0.14,0.0,0.29,20.0,3.0,4.0,0.43,['Flyweight' 'Bantamweight' 'Featherweight']
682,Edwin Figueroa,32.17,0.17,0.5,0.33,33.17,2.0,4.0,0.33,['Bantamweight']
683,Marion Reneau,42.0,0.54,0.69,0.0,43.23,5.0,8.0,0.38,"[""Women's Bantamweight""]"
684,John Lober,4.0,3.0,1.0,0.0,8.0,0.0,1.0,0.0,['Middleweight']
685,Chad Laprise,41.0,0.6,0.0,0.3,41.9,6.0,4.0,0.6,['Welterweight' 'Lightweight']
686,Jack Hermansson,36.23,1.08,0.31,0.0,37.62,9.0,4.0,0.69,['Middleweight']
687,Viviane Araujo,61.11,1.89,0.78,0.11,63.89,6.0,3.0,0.67,"[""Women's Flyweight"" ""Women's Bantamweight""]"
688,Gabriella Fernandes,24.5,0.0,0.0,0.0,24.5,0.0,2.0,0.0,"[""Women's Flyweight""]"
689,Efrain Escudero,36.25,1.08,0.67,0.42,38.42,5.0,7.0,0.42,['Lightweight']
690,Keiichiro Yamamiya,14.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,['Middleweight']
691,Nick Osipczak,35.4,1.0,0.8,0.4,37.599999999999994,2.0,3.0,0.4,['Welterweight']
692,Sultan Aliev,15.0,1.25,0.0,0.0,16.25,2.0,2.0,0.5,['Welterweight']
693,Justin Levens,1.0,0.0,0.5,0.0,1.5,0.0,2.0,0.0,['Middleweight']
694,Brian Kelleher,28.2,1.0,0.4,0.2,29.799999999999997,8.0,7.0,0.53,['Bantamweight' 'Featherweight']
695,Alex Garcia,21.2,2.9,0.1,0.3,24.5,5.0,5.0,0.5,['Welterweight']
696,David Mitchell,23.6,0.6,1.8,0.0,26.000000000000004,1.0,4.0,0.2,['Welterweight']
697,Charles Jourdain,69.0,0.09,0.45,0.45,69.99000000000001,7.0,4.0,0.64,['Featherweight' 'Lightweight']
698,Stephan Bonnar,30.6,1.13,0.87,0.13,32.730000000000004,8.0,7.0,0.53,['Light Heavyweight']
699,Jay Hieron,11.75,2.25,0.75,0.0,14.75,0.0,4.0,0.0,['Welterweight']
700,Cristina Stanciu,22.0,0.5,1.0,0.0,23.5,0.0,2.0,0.0,"[""Women's Strawweight""]"
701,Derrick Noble,18.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,['Welterweight']
702,Jon Tuck,36.0,0.33,0.78,0.22,37.33,4.0,5.0,0.44,['Lightweight']
703,Darren Uyenoyama,16.5,1.0,0.75,0.0,18.25,2.0,2.0,0.5,['Flyweight' 'Bantamweight']
704,Rin Nakai,23.5,3.0,0.5,0.0,27.0,0.0,2.0,0.0,"[""Women's Bantamweight""]"
705,Augusto Montano,39.33,0.0,0.0,0.0,39.33,1.0,2.0,0.33,['Welterweight']
706,Solomon Hutcherson,11.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,['Middleweight']
707,Jarred Brooks,28.0,4.0,0.5,0.0,32.5,2.0,2.0,0.5,['Flyweight']
708,Frank Trigg,10.57,0.29,0.29,0.14,11.29,2.0,5.0,0.29,['Welterweight']
709,Vince Cachero,45.5,0.0,0.5,0.0,46.0,0.0,2.0,0.0,['Bantamweight' 'Featherweight']
710,Kevin Jousset,29.0,1.0,1.0,0.0,31.0,1.0,0.0,1.0,['Welterweight']
711,Rousimar Palhares,10.92,1.17,1.33,0.08,13.5,8.0,4.0,0.67,['Middleweight' 'Welterweight']
712,Dennis Hallman,9.88,1.0,1.12,0.12,12.12,4.0,4.0,0.5,['Welterweight' 'Middleweight' 'Lightweight']
713,Brad Tavares,43.82,0.68,0.0,0.18,44.68,15.0,7.0,0.68,['Middleweight']
714,Cole Miller,30.25,0.4,1.2,0.2,32.05,11.0,9.0,0.55,['Featherweight' 'Lightweight']
715,Pannie Kianzad,68.78,0.33,0.11,0.0,69.22,5.0,4.0,0.56,"[""Women's Bantamweight"" ""Women's Featherweight""]"
716,Dan Miller,22.92,1.15,1.23,0.15,25.45,6.0,7.0,0.46,['Middleweight' 'Welterweight']
717,Caros Fodor,47.0,3.0,0.0,0.0,50.0,0.0,1.0,0.0,['Lightweight']
718,Carlos Condit,36.2,0.6,0.6,0.27,37.67000000000001,7.0,8.0,0.47,['Welterweight']
719,Nik Lentz,44.3,2.87,0.96,0.09,48.22,14.0,9.0,0.61,['Featherweight' 'Lightweight']
720,Yoshinori Horie,39.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,['Featherweight']
721,Andre Gusmao,25.5,0.0,0.0,0.0,25.5,0.0,2.0,0.0,['Light Heavyweight']
722,Justine Kish,67.0,0.86,0.14,0.14,68.14,3.0,4.0,0.43,"[""Women's Flyweight"" ""Women's Strawweight""]"
723,Bibulatov Magomed,38.0,2.0,0.0,0.0,40.0,1.0,2.0,0.33,['Flyweight']
724,Jeka Saragih,9.0,0.5,0.0,0.5,10.0,1.0,1.0,0.5,['Lightweight' 'Featherweight']
725,Brandon Wolff,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,['Welterweight']
726,Richard Walsh,49.5,1.33,0.17,0.5,51.5,2.0,4.0,0.33,['Welterweight']
727,Chris Gutierrez,60.3,0.2,0.1,0.4,61.0,8.0,2.0,0.8,['Bantamweight' 'Featherweight']
728,Karolina Kowalkiewicz,78.93,0.33,0.2,0.0,79.46000000000001,9.0,6.0,0.6,"[""Women's Strawweight""]"
729,AJ Dobson,59.0,1.67,0.0,0.0,60.67,1.0,2.0,0.33,['Middleweight']
730,Ariane Lipski,43.9,0.4,0.2,0.3,44.8,5.0,5.0,0.5,"[""Women's Bantamweight"" ""Women's Flyweight""]"
731,Joseph Morales,15.0,0.33,1.67,0.33,17.33,1.0,2.0,0.33,['Flyweight']
732,John Lewis,10.0,0.5,0.0,0.0,10.5,1.0,1.0,0.5,['Lightweight' 'Middleweight']
733,Dong Hyun Ma,29.38,0.88,0.0,0.12,30.38,3.0,5.0,0.38,['Lightweight' 'Welterweight']
734,Mike Rio,12.25,1.25,0.5,0.0,14.0,1.0,3.0,0.25,['Lightweight']
735,Julija Stoliarenko,29.0,0.5,1.0,0.0,30.5,2.0,4.0,0.33,"[""Women's Bantamweight"" ""Women's Featherweight"" ""Women's Flyweight""]"
736,Johnny Rees,21.5,0.5,0.0,0.0,22.0,0.0,2.0,0.0,['Welterweight' 'Middleweight']
737,Marcelo Aguiar,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,['Welterweight']
738,Jeff Joslin,18.0,0.0,1.0,0.0,19.0,0.0,1.0,0.0,['Welterweight']
739,Ryan Madigan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Welterweight']
740,Rob Kimmons,13.43,1.0,1.14,0.0,15.57,3.0,4.0,0.43,['Middleweight']
741,Alex Karalexis,14.0,0.33,1.0,0.0,15.33,1.0,2.0,0.33,['Welterweight']
742,TJ O'Brien,30.0,0.5,0.0,0.0,30.5,0.0,2.0,0.0,['Lightweight']
743,Christina Marks,10.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,"[""Women's Flyweight""]"
744,Khalid Murtazaliev,48.0,5.0,0.0,0.0,53.0,1.0,0.0,1.0,['Middleweight']
745,Ismail Naurdiev,47.5,1.25,0.25,0.0,49.0,2.0,2.0,0.5,['Welterweight']
746,Colin Fletcher,46.5,0.0,0.0,0.0,46.5,0.0,2.0,0.0,['Lightweight']
747,Brad Katona,72.0,1.0,0.0,0.0,73.0,3.0,2.0,0.6,['Bantamweight' 'Featherweight']
748,Iliarde Santos,27.0,1.0,0.0,0.0,28.0,0.0,3.0,0.0,['Flyweight' 'Bantamweight']
749,Ivan Serati,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,['Light Heavyweight']
750,Albert Cheng,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,['Welterweight']
751,Maki Pitolo,36.17,1.5,0.5,0.0,38.17,1.0,5.0,0.17,['Middleweight' 'Welterweight']
752,Christian Aguilera,9.0,0.0,0.0,0.0,9.0,1.0,2.0,0.33,['Welterweight']
753,Nate Mohr,31.5,0.25,0.0,0.0,31.75,1.0,3.0,0.25,['Lightweight']
754,DaMarques Johnson,14.78,0.56,0.33,0.22,15.89,4.0,5.0,0.44,['Welterweight']
755,Paul Daley,15.33,0.0,0.0,0.33,15.66,2.0,1.0,0.67,['Welterweight']
756,Tony DeSouza,7.5,1.0,0.67,0.0,9.17,3.0,3.0,0.5,['Welterweight']
757,Don Madge,21.0,1.5,0.5,1.0,24.0,2.0,0.0,1.0,['Lightweight']
758,Dustin Poirier,43.56,1.04,0.64,0.52,45.760000000000005,18.0,7.0,0.72,['Lightweight' 'Featherweight']
759,Michael Patt,7.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,['Light Heavyweight']
760,Tom Murphy,30.0,6.0,2.0,0.0,38.0,1.0,0.0,1.0,['Heavyweight']
761,Preston Parsons,46.67,2.33,2.67,0.0,51.67,1.0,2.0,0.33,['Welterweight']
762,Justin Willis,42.2,0.8,0.0,0.4,43.4,4.0,1.0,0.8,['Heavyweight']
763,Austen Lane,5.0,0.0,0.0,0.0,5.0,1.0,1.0,0.5,['Heavyweight']
764,Yohan Lainesse,21.67,0.67,0.33,0.33,23.0,1.0,2.0,0.33,['Welterweight']
765,Dalcha Lungiambula,30.71,1.43,0.0,0.14,32.28,2.0,5.0,0.29,['Middleweight' 'Light Heavyweight']
766,Julia Avila,29.0,0.4,0.2,0.2,29.799999999999997,3.0,2.0,0.6,"[""Women's Bantamweight""]"
767,Cody Pfister,15.0,2.0,0.0,0.0,17.0,1.0,3.0,0.25,['Lightweight']
768,Sean Sherk,33.44,2.56,0.0,0.0,36.0,6.0,3.0,0.67,['Lightweight' 'Welterweight']
769,Jim Miller,28.1,0.95,1.15,0.15,30.349999999999998,23.0,16.0,0.59,['Lightweight' 'Welterweight']
770,Geoff Neal,56.67,0.44,0.11,0.78,58.0,7.0,2.0,0.78,['Welterweight']
771,Carlos Mota,12.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,['Flyweight']
772,Mark Holst,2.5,0.5,1.5,0.0,4.5,0.0,2.0,0.0,['Lightweight']
773,Milton Vieira,23.5,3.0,0.0,0.0,26.5,0.0,2.0,0.0,['Featherweight']
774,Maurice Smith,15.25,0.0,0.5,0.0,15.75,2.0,2.0,0.5,['Heavyweight']
775,Edgar Garcia,17.25,1.0,0.25,0.0,18.5,0.0,4.0,0.0,['Welterweight']
776,Lucas Alexander,32.33,0.0,0.0,0.33,32.66,1.0,2.0,0.33,['Featherweight']
777,Jordan Mein,31.22,1.56,0.22,0.33,33.33,5.0,4.0,0.56,['Welterweight']
778,Dan Evensen,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,['Heavyweight']
779,Antonina Shevchenko,41.0,0.38,0.38,0.0,41.760000000000005,4.0,4.0,0.5,"[""Women's Flyweight""]"
780,Clint Hester,35.43,0.71,0.0,0.43,36.57,4.0,3.0,0.57,['Light Heavyweight' 'Middleweight']
781,Trevor Prangley,27.75,3.5,1.0,0.0,32.25,2.0,2.0,0.5,['Middleweight']
782,Drakkar Klose,51.2,1.4,0.0,0.2,52.800000000000004,8.0,2.0,0.8,['Lightweight']
783,Charles McCarthy,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.33,['Middleweight']
784,Adlan Amagov,26.5,3.0,0.0,0.5,30.0,2.0,0.0,1.0,['Welterweight']
785,Chad Griggs,1.0,0.5,0.0,0.0,1.5,0.0,2.0,0.0,['Light Heavyweight' 'Heavyweight']
786,Gabe Ruediger,8.33,0.67,0.0,0.0,9.0,0.0,3.0,0.0,['Lightweight']
787,Pete Williams,10.5,0.33,0.83,0.17,11.83,3.0,3.0,0.5,['Heavyweight']
788,Jordan Johnson,43.75,2.75,1.0,0.0,47.5,4.0,0.0,1.0,['Middleweight' 'Light Heavyweight']
789,Fabiano Iha,6.43,0.86,1.14,0.0,8.43,3.0,4.0,0.43,['Lightweight' 'Welterweight']
790,Da Woon Jung,34.5,1.25,0.12,0.38,36.25,5.0,3.0,0.62,['Light Heavyweight']
791,Elias Garcia,17.5,0.5,1.0,0.5,19.5,0.0,2.0,0.0,['Flyweight']
792,Anderson Silva,21.68,0.11,0.16,0.84,22.79,14.0,5.0,0.74,['Middleweight' 'Light Heavyweight']
793,Marcus Aurelio,25.5,0.83,0.5,0.17,27.0,2.0,4.0,0.33,['Lightweight']
794,Abu Azaitar,65.67,1.0,0.0,0.0,66.67,1.0,2.0,0.33,['Middleweight']
795,Shanna Young,35.0,0.0,0.5,0.0,35.5,1.0,3.0,0.25,"[""Women's Flyweight"" ""Women's Bantamweight""]"
796,Tommy Speer,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,['Welterweight']
797,John Hathaway,45.56,2.33,0.78,0.22,48.89,7.0,2.0,0.78,['Welterweight']
798,Brendan O'Reilly,22.5,1.75,0.5,0.0,24.75,1.0,3.0,0.25,['Lightweight' 'Welterweight']
799,Jason Tan,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,['Welterweight']
800,Greg Soto,38.0,1.5,1.0,0.0,40.5,1.0,1.0,0.5,['Welterweight']
801,Renzo Gracie,34.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,['Welterweight']
802,Alexandre Dantas,7.5,1.0,0.5,0.0,9.0,0.0,2.0,0.0,['Heavyweight' 'Middleweight']
803,Nazareno Malegarie,58.0,1.0,0.0,0.0,59.0,0.0,1.0,0.0,['Lightweight']
804,Thibault Gouti,30.0,0.67,0.17,0.17,31.010000000000005,1.0,5.0,0.17,['Lightweight']
805,Ryan Spann,22.9,0.5,0.5,0.5,24.4,7.0,3.0,0.7,['Light Heavyweight']
806,Jared Cannonier,34.33,0.17,0.0,0.33,34.83,7.0,5.0,0.58,['Middleweight' 'Light Heavyweight' 'Heavyweight']
807,Taila Santos,43.33,2.0,1.0,0.5,46.83,4.0,2.0,0.67,"[""Women's Flyweight""]"
808,Cody Donovan,25.25,0.5,0.5,0.5,26.75,1.0,3.0,0.25,['Light Heavyweight']
809,Murilo Bustamante,13.0,2.5,0.75,0.5,16.75,3.0,1.0,0.75,['Light Heavyweight' 'Middleweight']
810,Rob Wilkinson,23.0,2.5,0.0,0.0,25.5,0.0,2.0,0.0,['Middleweight']
811,Frankie Edgar,45.0,2.33,0.22,0.06,47.61,12.0,6.0,0.67,['Bantamweight' 'Featherweight' 'Lightweight']
812,Vanessa Demopoulos,49.0,0.5,0.33,0.17,50.0,4.0,2.0,0.67,"[""Women's Strawweight"" ""Women's Flyweight""]"
813,Rongzhu,58.67,3.33,0.0,0.33,62.33,1.0,2.0,0.33,['Lightweight']
814,Payton Talbott,28.0,0.0,1.0,0.0,29.0,1.0,0.0,1.0,['Bantamweight']
815,Mike Malott,18.67,1.0,0.67,0.67,21.010000000000005,3.0,0.0,1.0,['Welterweight']
816,Bruno Santos,17.67,3.0,0.33,0.0,21.0,1.0,2.0,0.33,['Middleweight']
817,Tagir Ulanbekov,39.5,3.0,0.75,0.0,43.25,3.0,1.0,0.75,['Flyweight']
818,Ebenezer Fontes Braga,9.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,['Middleweight']
819,Jose Johnson,35.5,0.5,0.5,0.0,36.5,1.0,1.0,0.5,['Bantamweight']
820,Matheus Nicolau,41.11,1.11,0.67,0.89,43.78,7.0,2.0,0.78,['Flyweight' 'Bantamweight']
821,Thomas Gifford,59.0,0.5,0.0,0.0,59.5,0.0,2.0,0.0,['Lightweight']
822,Claude Patrick,23.25,2.0,1.5,0.0,26.75,3.0,1.0,0.75,['Welterweight']
823,Gunnar Nelson,16.54,1.31,0.62,0.08,18.549999999999997,9.0,4.0,0.69,['Welterweight']
824,Rich Franklin,30.27,0.47,0.07,0.53,31.34,10.0,5.0,0.67,['Middleweight' 'Light Heavyweight']
825,Francisco Trevino,27.33,0.67,0.0,0.0,28.0,1.0,2.0,0.33,['Lightweight']
826,Andre Fili,42.65,1.65,0.2,0.25,44.75,11.0,9.0,0.55,['Featherweight']
827,Juan Manuel Puig,6.5,0.0,0.0,0.0,6.5,0.0,2.0,0.0,['Featherweight' 'Lightweight']
828,Manolo Zecchini,9.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,['Featherweight']
829,Tatsuro Taira,26.67,1.67,2.33,0.33,31.0,3.0,0.0,1.0,['Flyweight']
