,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
369,Edson Barboza,44.85,0.3,0.07,0.56,45.78,17.0,10.0,0.63,['Featherweight' 'Lightweight']
370,Forrest Petz,26.29,1.0,0.0,0.71,28.0,2.0,5.0,0.29,['Welterweight']
371,Dmitry Sosnovskiy,28.0,2.0,2.0,0.0,32.0,1.0,0.0,1.0,['Heavyweight']
372,Anthony Rocco Martin,34.07,0.6,0.87,0.13,35.67,9.0,6.0,0.6,['Welterweight' 'Lightweight']
373,Alex Da Silva,28.5,1.75,0.25,0.25,30.75,1.0,3.0,0.25,['Lightweight']
374,Felipe Olivieri,87.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,['Lightweight']
375,Lyoto Machida,26.65,0.65,0.4,0.7,28.399999999999995,13.0,7.0,0.65,['Middleweight' 'Light Heavyweight']
376,Khama Worthy,18.6,0.0,0.2,0.2,19.0,2.0,3.0,0.4,['Lightweight']
377,Hector Lombard,36.3,1.3,0.2,0.6,38.4,3.0,7.0,0.3,['Middleweight' 'Welterweight']
378,Natalia Silva,57.75,0.5,0.0,0.5,58.75,4.0,0.0,1.0,"[""Women's Flyweight""]"
379,Marcus Jones,10.0,3.0,1.0,0.0,14.0,0.0,1.0,0.0,['Heavyweight']
380,Mitch Clarke,23.71,0.43,0.29,0.0,24.43,2.0,5.0,0.29,['Lightweight']
381,Carmelo Marrero,6.75,1.5,0.0,0.0,8.25,1.0,3.0,0.25,['Light Heavyweight' 'Heavyweight']
382,Calvin Kattar,49.12,0.25,0.0,0.5,49.87,5.0,3.0,0.62,['Featherweight']
383,David Velasquez,20.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,['Lightweight']
384,Paul Georgieff,12.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,['Welterweight']
385,Melvin Guillard,20.36,0.64,0.09,0.59,21.68,12.0,10.0,0.55,['Lightweight' 'Welterweight']
386,Carlos Hernandez,63.0,1.33,0.0,0.0,64.33,2.0,1.0,0.67,['Flyweight']
387,Ian Loveland,40.67,1.0,0.33,0.67,42.67,1.0,2.0,0.33,['Bantamweight' 'Featherweight']
388,Nick Denis,17.5,0.5,0.0,0.5,18.5,1.0,1.0,0.5,['Bantamweight']
389,Reginaldo Vieira,47.67,1.67,0.67,0.0,50.010000000000005,1.0,2.0,0.33,['Bantamweight']
390,Cathal Pendred,30.33,2.0,0.33,0.0,32.66,4.0,2.0,0.67,['Welterweight' 'Middleweight']
391,Anton Kuivanen,28.33,1.0,0.33,0.0,29.659999999999997,1.0,2.0,0.33,['Lightweight']
392,Myktybek Orolbai,8.0,7.0,1.0,0.0,16.0,1.0,0.0,1.0,['Welterweight']
393,Jamall Emmers,50.0,1.5,0.17,0.17,51.84,3.0,3.0,0.5,['Featherweight']
394,Krzysztof Jotko,37.65,1.12,0.06,0.12,38.949999999999996,11.0,6.0,0.65,['Middleweight']
395,Mike Ciesnolevicz,1.5,0.0,1.0,0.0,2.5,1.0,1.0,0.5,['Light Heavyweight' 'Heavyweight']
396,Johny Hendricks,29.5,2.89,0.28,0.33,33.0,12.0,6.0,0.67,['Middleweight' 'Welterweight']
397,Marc Diakiese,30.87,2.67,0.0,0.13,33.67,8.0,7.0,0.53,['Lightweight']
398,Juliana Miller,36.0,1.33,1.33,0.0,38.66,1.0,2.0,0.33,"[""Women's Flyweight""]"
399,Israel Adesanya,46.14,0.0,0.0,1.14,47.28,7.0,0.0,1.0,['Middleweight']
400,Mostapha Al-Turk,10.33,0.0,0.0,0.0,10.33,0.0,3.0,0.0,['Heavyweight']
